model,train_acc,test_acc,gap
랜덤포레스트,0.9997972424979724,0.8957826439578265,0.10401459854014594
단일트리,0.9049067315490673,0.8941605839416058,0.01074614760746151
XGboost,0.9453568532035685,0.8876723438767234,0.0576845093268451
로지스틱회귀,0.8839213300892133,0.8795620437956204,0.0043592862935928345
베이스라인,0.8452960259529603,0.8450932684509327,0.00020275750202758402
